epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.105,1.64837,0.77696,1.70381,0.93424,0.94717,0.98499,0.58708,1.32702,0.65029,1.62754,0.000649123,0.000649123,0.000649123
2,15.9619,1.46122,0.68821,1.57799,0.94672,0.96,0.98943,0.6038,1.3222,0.62092,1.62082,0.00128974,0.00128974,0.00128974
3,22.7082,1.41993,0.68381,1.56797,0.88367,0.94667,0.91834,0.53929,1.29503,0.71651,1.55831,0.00190395,0.00190395,0.00190395
4,28.5569,1.32035,0.66638,1.51619,0.9913,0.93333,0.98406,0.62133,1.27353,0.63705,1.57641,0.0018812,0.0018812,0.0018812
5,35.5453,1.32746,0.63977,1.51729,0.98624,0.97333,0.98957,0.62138,1.27983,0.61556,1.54361,0.0018416,0.0018416,0.0018416
6,41.1397,1.36828,0.63023,1.49356,0.95653,0.97333,0.99047,0.61862,1.32498,0.61467,1.57623,0.001802,0.001802,0.001802
7,48.0129,1.31023,0.61105,1.48348,0.96467,0.98667,0.98993,0.62383,1.31566,0.56546,1.62048,0.0017624,0.0017624,0.0017624
8,53.6049,1.31592,0.64453,1.49425,0.94802,0.97333,0.98878,0.58723,1.41751,0.63671,1.66486,0.0017228,0.0017228,0.0017228
9,60.6126,1.30393,0.65594,1.47935,0.97369,0.98687,0.99461,0.60701,1.31947,0.63456,1.62726,0.0016832,0.0016832,0.0016832
10,66.2677,1.28257,0.6053,1.47431,0.97392,0.99601,0.99421,0.64093,1.2276,0.56749,1.52446,0.0016436,0.0016436,0.0016436
11,73.2402,1.29173,0.59442,1.48088,0.98644,0.96965,0.99345,0.62825,1.26622,0.56321,1.57987,0.001604,0.001604,0.001604
12,78.7531,1.2337,0.58044,1.45051,0.94268,0.98667,0.98891,0.6414,1.28582,0.57473,1.55063,0.0015644,0.0015644,0.0015644
13,85.8378,1.30021,0.6085,1.48983,0.98657,0.97944,0.98803,0.64366,1.22681,0.55696,1.55802,0.0015248,0.0015248,0.0015248
14,92.5336,1.29486,0.59348,1.49478,0.99645,0.97333,0.99351,0.63338,1.25084,0.5275,1.55405,0.0014852,0.0014852,0.0014852
15,99.7964,1.21571,0.5564,1.4282,1,0.98498,0.99437,0.63407,1.26827,0.54914,1.56147,0.0014456,0.0014456,0.0014456
16,105.582,1.16672,0.54984,1.36532,0.99442,0.97333,0.99352,0.63332,1.25099,0.52165,1.54864,0.001406,0.001406,0.001406
17,111.654,1.2086,0.55943,1.43198,0.98288,0.96,0.98285,0.64084,1.29195,0.54583,1.56065,0.0013664,0.0013664,0.0013664
18,118.083,1.2001,0.56351,1.414,0.93671,0.98661,0.95413,0.60116,1.2724,0.5569,1.57105,0.0013268,0.0013268,0.0013268
19,123.654,1.23014,0.55623,1.42963,0.94749,0.94667,0.95224,0.57547,1.38966,0.60031,1.63191,0.0012872,0.0012872,0.0012872
20,130.594,1.23088,0.56945,1.41986,0.98648,0.97304,0.99325,0.65525,1.23207,0.51094,1.50853,0.0012476,0.0012476,0.0012476
21,136.228,1.21937,0.5602,1.42606,0.97105,0.97333,0.96726,0.61223,1.25272,0.54301,1.52833,0.001208,0.001208,0.001208
22,143.312,1.22117,0.54941,1.41915,0.95738,0.97333,0.97456,0.61199,1.26286,0.55982,1.53003,0.0011684,0.0011684,0.0011684
23,149.001,1.19361,0.54235,1.3765,1,0.95736,0.98991,0.62725,1.23847,0.53066,1.54523,0.0011288,0.0011288,0.0011288
24,155.998,1.20924,0.55088,1.408,0.9862,0.97333,0.99411,0.63974,1.25375,0.51149,1.53986,0.0010892,0.0010892,0.0010892
25,161.523,1.11309,0.51462,1.35977,0.99526,0.98667,0.99437,0.61493,1.32229,0.512,1.62147,0.0010496,0.0010496,0.0010496
26,168.591,1.18358,0.53696,1.40351,0.99221,0.98667,0.99437,0.62964,1.30944,0.52093,1.57007,0.00101,0.00101,0.00101
27,174.346,1.16645,0.53577,1.40314,0.9865,0.98667,0.99356,0.63585,1.20629,0.52306,1.51643,0.0009704,0.0009704,0.0009704
28,181.272,1.17346,0.52861,1.35576,0.99507,0.97333,0.99282,0.64083,1.23343,0.50411,1.52037,0.0009308,0.0009308,0.0009308
29,186.822,1.14169,0.52537,1.35838,0.98603,0.97333,0.99022,0.63748,1.27571,0.51105,1.55044,0.0008912,0.0008912,0.0008912
30,193.13,1.12601,0.51719,1.34901,0.98381,0.97333,0.99255,0.62234,1.26076,0.55863,1.53376,0.0008516,0.0008516,0.0008516
31,199.335,1.13415,0.53355,1.36776,0.98509,0.98667,0.99386,0.63277,1.23599,0.50236,1.52229,0.000812,0.000812,0.000812
32,205.166,1.13189,0.52392,1.36788,0.97393,0.97333,0.99323,0.64565,1.25158,0.49656,1.53209,0.0007724,0.0007724,0.0007724
33,212.061,1.11713,0.51387,1.33489,0.98647,0.97232,0.9937,0.64767,1.25258,0.49041,1.50279,0.0007328,0.0007328,0.0007328
34,217.766,1.10379,0.51171,1.33304,0.9944,0.98667,0.99372,0.6284,1.26035,0.50423,1.53878,0.0006932,0.0006932,0.0006932
35,224.784,1.08962,0.49825,1.30687,0.93482,0.98667,0.97962,0.63042,1.23539,0.54235,1.50436,0.0006536,0.0006536,0.0006536
